date,time,mq2_adc,mq2_rs,mq2_ratio,mq2_ppm,mq135_adc,mq135_rs,mq135_ratio,mq135_ppm,mq7_adc,mq7_rs,mq7_ratio,mq7_ppm,label
2026-04-01,00:52:47,293,259522.19,22.26,0.0,1931,22413.26,1.87,0.39,156,505000.0,45.91,0.0,0
2026-04-01,00:52:49,304,249407.89,21.39,0.0,1930,22435.23,1.87,0.39,155,508387.09,46.22,0.0,0
2026-04-01,00:52:51,310,244193.55,20.94,0.0,1933,22369.38,1.86,0.39,146,540958.87,49.18,0.0,0
2026-04-01,00:52:53,307,246775.23,21.16,0.0,1927,22501.3,1.88,0.39,155,508387.09,46.22,0.0,0
2026-04-01,00:52:55,294,258571.42,22.18,0.0,1953,21935.48,1.83,0.41,148,533378.37,48.49,0.0,0
2026-04-01,00:52:57,304,249407.89,21.39,0.0,1968,21615.85,1.8,0.42,156,505000.0,45.91,0.0,0
2026-04-01,00:52:59,294,258571.42,22.18,0.0,1930,22435.23,1.87,0.39,153,515294.13,46.84,0.0,0
2026-04-01,00:53:01,302,251192.05,21.54,0.0,1950,22000.0,1.83,0.41,154,511818.19,46.53,0.0,0
2026-04-01,00:53:03,305,248524.59,21.31,0.0,1933,22369.38,1.86,0.39,145,544827.56,49.53,0.0,0
2026-04-01,00:53:05,302,251192.05,21.54,0.0,1967,21637.01,1.8,0.42,153,515294.13,46.84,0.0,0
2026-04-01,00:53:07,294,258571.42,22.18,0.0,1936,22303.72,1.86,0.4,149,529664.44,48.15,0.0,0
2026-04-01,00:53:09,314,240828.03,20.65,0.0,1959,21807.04,1.82,0.42,158,498354.41,45.3,0.0,0
2026-04-01,00:53:11,307,246775.23,21.16,0.0,1943,22151.31,1.85,0.4,150,526000.0,47.82,0.0,0
